101
a(0,-20) 0 -20
a(1,-19) 1 -19
a(2,-18) 2 -18
a(3,-17) 3 -17
a(4,-16) 4 -16
a(5,-15) 5 -15
a(6,-14) 6 -14
a(7,-13) 7 -13
a(8,-12) 8 -12
a(9,-11) 9 -11
a(40,-10) 40 -10
a(11,-9) 11 -9
a(12,-8) 12 -8
a(13,-7) 13 -7
a(14,-6) 14 -6
a(15,-5) 15 -5
a(16,-4) 16 -4
a(17,-3) 17 -3
a(18,-2) 18 -2
a(19,-1) 19 -1
a(20,0) 20 0
a(21,1) 21 1
a(22,2) 22 2
a(23,3) 23 3
a(24,4) 24 4
a(25,5) 25 5
a(26,6) 26 6
a(27,7) 27 7
a(28,8) 28 8
a(29,9) 29 9
a(30,10) 30 10
a(31,11) 31 11
a(32,12) 32 12
a(33,13) 33 13
a(34,14) 34 14
a(35,15) 35 15
a(36,16) 36 16
a(37,17) 37 17
a(38,18) 38 18
a(39,19) 39 19
a(40,20) 40 20
a(41,21) 41 21
a(42,22) 42 22
a(43,23) 43 23
a(44,24) 44 24
a(45,25) 45 25
a(46,26) 46 26
a(47,27) 47 27
a(48,28) 48 28
a(49,29) 49 29
a(50,30) 50 30
a(51,31) 51 31
a(52,32) 52 32
a(53,33) 53 33
a(54,34) 54 34
a(55,35) 55 35
a(56,36) 56 36
a(57,37) 57 37
a(58,38) 58 38
a(59,39) 59 39
a(60,40) 60 40
a(61,41) 61 41
a(62,42) 62 42
a(63,43) 63 43
a(64,44) 64 44
a(65,45) 65 45
a(66,46) 66 46
a(67,47) 67 47
a(68,48) 68 48
a(69,49) 69 49
a(70,50) 70 50
a(71,51) 71 51
a(72,52) 72 52
a(73,53) 73 53
a(74,54) 74 54
a(75,55) 75 55
a(76,56) 76 56
a(77,57) 77 57
a(78,58) 78 58
a(79,59) 79 59
a(80,60) 80 60
a(81,61) 81 61
a(82,62) 82 62
a(83,63) 83 63
a(84,64) 84 64
a(85,65) 85 65
a(86,66) 86 66
a(87,67) 87 67
a(88,68) 88 68
a(89,69) 89 69
a(90,70) 90 70
a(91,71) 91 71
a(92,72) 92 72
a(93,73) 93 73
a(94,74) 94 74
a(95,75) 95 75
a(96,76) 96 76
a(97,77) 97 77
a(98,78) 98 78
a(99,79) 99 79
a(100,80) 100 80
50 20 30
